Name;Description
Absorb;At the end of round if the creature has a higher advantage than opponents, it absorbs one enemy of smaller or similar size. Victim gains Creature's S Bonus Entangled conditions and loses the same number of wounds at the end of each Round (not reduced by TB or Armour) which heals the Creature by the same amount. Victim may try to escape as if it was a Grapple (See CRB page 163).
Afraid (Target);Creature gains Fear (0) (see CRB page 190) to the target.
Amphibious;Creature adds Ag Bonus to SL of all swim tests and moves at full Movement through water.
Amorphous;Creature halves any wounds suffered other than Fire, Cold of Magic and ignores Critical Wounds. Creature only dies if reduced to 0 wounds by fire, cold or magic, otherwise falls dormant for 1D10 Rounds then regenerates +1 wound.
Analgesic Saliva;Creature may attach to sleeping victims undected. Effect wears of 10-T Bonus after the creature detaches.
Animal Telepathy;Creature may communicate silently with its spirit-bonded spellcaster.
Anticoagulant Saliva;Victim of Creature's bite gain 1 Bleeding condition.
Aquatic;Creature can breathe and move at full movement under water. It cannot move on land.
Arboreal;When in woodlands, creature adds Ag Bonus to SL of all Climb and Stealth tests.
Animosity (Target);Creature dislikes the target (see Animosity page 190 of CRB).
Armour (Rating);Creature has Armour rating on all locations.
Attach and Feed;Creature may become attach to victim after a successful Bite attack, causing a loss of 1 wound every round. Victims reduced to 0 wounds gains the unconscious condition. Creature will free itself after eating wounds equal to its TB, can be removed with and opposed S test (causing 1 wound to victim) or exposed to anything it fears.
Bale Eye;Creature gains the Second Sight talent and benefits of +2 SL for test skills using it. Creature gains +1 SL for Language (Magick) and Channeling Tests.
Balefire Brazier;All Lore (Magick) checks made within 8 yards of the creature suffer a -20 penalty.
Belligerent;Creature is immune to psychology as long as it has more advantages than opponent.
Bestial;Creature gains Broken condition if striked by Fire or targeted by gunpowder weapons. It uses only the Dodge skill for defence. If it loses more than half its wounds it tries to flee except if cornered, protecting its young or if it has the Territorial trait. If so it enters Frenzy (see CRB page 190).
Big;Creature receives +10 S and T, but also +5 Ag.
Bite (Rating);Creature may spend 1 advantage to make a free bite attack. Damage equals rating which already includes the creature's Strength Bonus.
Blessed (Various);Creature can enact blessing of the relevant deity.
Blighed (Type);Creature harbours the disease listed. If touched, victim must test for contraction but test is 2 steps more difficult and Incubation is changed to ‘Instan'.
Bounce;Creature doubles its movement when charging or running and may ignore terrain and characters as it leaps over them
Breath Rating (Type);Creature may use 2 advantages to activate its breath as a free attack to 1 target within T Bonus yards. See CRB page 338 for details.
Breath Rating (Warpfire);Work as above. See Death on the Reik Companion page 21 for details.
Brute;Creatures receive -1 Movement, -10 Ag, +10 S and +10 T.
