index,gen_id,seed,prompt,file_name,file_path,timestamp
1,"8gdlxlw59mMpyLYl",2147549222,"A hand-drawn, painterly depiction of a gambler, with a sly, confident demeanor. He is seated at a table with a deck of cards or dice in his hands, dressed in slightly flashy yet worn clothing, suggestive of both wealth and the toll of gambling. His expression is one of cunning and charm, with a hint of mischief. The image captures the essence of Warhammer Fantasy Roleplay, reminiscent of 1600-1700s Germany, with rich linework, muted earthy tones, and dramatic lighting. His features are slightly exaggerated to emphasize his roguish nature. Ensure that the image contains no text.","DALL·E 2024-09-22 12.32.15 - A-hand-drawn-painterly-depiction-of-a-gambler-with .png","DALL·E 2024-09-22 12.32.15 - A-hand-drawn-painterly-depiction-of-a-gambler-with .png",1726957935739.5889
2,"7gSfw4WVHpjsv38t",2344558794,"A hand-drawn, painterly depiction of a woman in her 50s, the leader of the Ranald cult, based on the Warhammer Fantasy Roleplay universe. She has sharp, cunning features, with a look of wisdom and experience. Her attire is practical yet hints at her status within the cult, with subtle symbols related to Ranald, the god of thieves and tricksters. The image captures the essence of Warhammer Fantasy Roleplay, reminiscent of 1600-1700s Germany, with rich linework, muted earthy tones, and dramatic lighting. Her features are slightly exaggerated to emphasize her leadership and shrewd nature. Ensure that the image contains no text.","DALL·E 2024-09-22 12.33.47 - A-hand-drawn-painterly-depiction-of-a-woman-in-her .png","DALL·E 2024-09-22 12.33.47 - A-hand-drawn-painterly-depiction-of-a-woman-in-her .png",1726958027439.2751
3,"HBcH0NcrUecKmLRv",3772077333,"A hand-drawn, painterly depiction of a cheese monger, surrounded by wheels of cheese and other dairy goods. The cheesemonger is dressed in practical, slightly worn clothing, reflecting a life spent working in markets. Their expression is friendly yet sharp, as they manage both the quality of their goods and business negotiations. The image captures the essence of Warhammer Fantasy Roleplay, reminiscent of 1600-1700s Germany, with rich linework, muted earthy tones, and dramatic lighting. The features are slightly exaggerated to emphasize their trade and hardworking nature. Ensure that the image contains no text.","DALL·E 2024-09-22 12.35.01 - A-hand-drawn-painterly-depiction-of-a-cheese-monge .png","DALL·E 2024-09-22 12.35.01 - A-hand-drawn-painterly-depiction-of-a-cheese-monge .png",1726958101228.018
4,"7AwdzIa6tUZgz3of",3409165353,"A hand-drawn, painterly depiction of Dagmar von Kausewhelm, a guard captain in the docks. She is a strong and authoritative figure, dressed in practical armor and clothing suitable for overseeing the rough environment of the docks. Her expression is stern and commanding, reflecting her responsibility in maintaining order. The image captures the essence of Warhammer Fantasy Roleplay, reminiscent of 1600-1700s Germany, with rich linework, muted earthy tones, and dramatic lighting. Her features are slightly exaggerated to emphasize her strength and leadership as a dock captain. Ensure that the image contains no text.","DALL·E 2024-09-29 05.06.49 - A-hand-drawn-painterly-depiction-of-Dagmar-von-Kau .png","DALL·E 2024-09-29 05.06.49 - A-hand-drawn-painterly-depiction-of-Dagmar-von-Kau .png",1727622409906.699
5,"sMQYPXHSEiwyfCEG",3891713317,"A hand-drawn, painterly depiction of Vallentino Florentino, a charismatic and experienced Talian mercenary captain. He is dressed in stylish but practical armor, with a bold expression and a commanding posture, reflecting his leadership and battle-hardened experience. His attire includes elements that hint at his Talian heritage, and his features are slightly exaggerated to emphasize his confidence and strength. The image captures the essence of Warhammer Fantasy Roleplay, with rich linework, muted earthy tones, and dramatic lighting. Ensure that the image contains no text.","DALL·E 2024-09-29 05.12.27 - A-hand-drawn-painterly-depiction-of-Vallentino-Flo .png","DALL·E 2024-09-29 05.12.27 - A-hand-drawn-painterly-depiction-of-Vallentino-Flo .png",1727622747512.008
6,"Jkp05OlmJBBPiy4o",3018240934,"A hand-drawn, painterly depiction of Diego, the fixer and servant of Vallentino Florentino. He is a shrewd and cunning figure, dressed in simpler, more practical clothing, reflecting his role as a behind-the-scenes operator. His expression is sharp and observant, always ready to handle any problems that arise for his master. The image captures the essence of Warhammer Fantasy Roleplay, with rich linework, muted earthy tones, and dramatic lighting. Diego's features are slightly exaggerated to emphasize his resourcefulness and cunning nature. Ensure that the image contains no text.","DALL·E 2024-09-29 05.14.04 - A-hand-drawn-painterly-depiction-of-Diego-the-fixe .png","DALL·E 2024-09-29 05.14.04 - A-hand-drawn-painterly-depiction-of-Diego-the-fixe .png",1727622844895.031
7,"CCw9N5NVNSSGptn5",917688682,"A hand-drawn, painterly depiction of Klaus Rauchfeldt, an inspector with a grim and serious Warhammer Fantasy aesthetic. He is dressed in dark, gritty clothing, with a long coat and wide-brimmed hat, reflecting the dangerous and corrupt environment he works in. His expression is stern, with a sharp and paranoid look, as though he is always watching for treachery or danger. The image captures the dark, grim tone of Warhammer Fantasy Roleplay, with exaggerated features, muted earthy tones, and dramatic lighting. Ensure that the image contains no text.","DALL·E 2024-09-29 10.55.00 - A-hand-drawn-painterly-depiction-of-Klaus-Rauchfel .png","DALL·E 2024-09-29 10.55.00 - A-hand-drawn-painterly-depiction-of-Klaus-Rauchfel .png",1727643300274.519
8,"C5ornI8uGBUN0lDF",2436638306,"A hand-drawn, painterly depiction of Gert, the innkeeper of the somewhat shady bar and gambling place, the Crooked Hammer. He is a gruff, intimidating figure with a stern expression, wearing rough, practical clothing suitable for his work. The atmosphere around him suggests a shady, dimly-lit establishment with a sense of danger lurking. His features are slightly exaggerated to emphasize his rough, no-nonsense demeanor. The image captures the dark, gritty tone of Warhammer Fantasy Roleplay, with rich linework, muted earthy tones, and dramatic lighting. Ensure that the image contains no text.","DALL·E 2024-09-29 10.56.37 - A-hand-drawn-painterly-depiction-of-Gert-the-innke .png","DALL·E 2024-09-29 10.56.37 - A-hand-drawn-painterly-depiction-of-Gert-the-innke .png",1727643397016.4038
9,"aADqzIiHiq1mLT1I",2907097037,"A hand-drawn, painterly depiction of Nils, a dockside clerk inspecting paperwork for anyone loading goods at the docks. He is dressed in simple, practical clothing, suited for his role, with a stern and focused expression as he checks the documents. The image captures the essence of Warhammer Fantasy Roleplay, with muted earthy tones, dramatic lighting, and a gritty atmosphere that reflects the docks' rough environment. His features are slightly exaggerated to emphasize his seriousness and attention to detail. Ensure that the image contains no text.","DALL·E 2024-09-29 10.59.04 - A-hand-drawn-painterly-depiction-of-Nils-a-docksid .png","DALL·E 2024-09-29 10.59.04 - A-hand-drawn-painterly-depiction-of-Nils-a-docksid .png",1727643544727.918
10,"0NkS4SRKq9MiqmH4",3152845826,"A hand-drawn, painterly depiction of Josef Quartjin, a bargemaster and seasoned riverman who ships wine for a living. He is a happy and jolly fellow, with a wide smile and a warm, welcoming demeanor. He is dressed in practical clothing suitable for his life on the river, and his expression shows years of experience and good humor. The image captures the essence of Warhammer Fantasy Roleplay, with muted earthy tones, dramatic lighting, and a gritty yet lighthearted atmosphere. His features are slightly exaggerated to emphasize his joy and friendly nature. Ensure that the image contains no text.","DALL·E 2024-09-29 11.00.22 - A-hand-drawn-painterly-depiction-of-Josef-Quartjin .png","DALL·E 2024-09-29 11.00.22 - A-hand-drawn-painterly-depiction-of-Josef-Quartjin .png",1727643622868.847
