Main heading;Sub heading;Item;Page number
Introduction;Using This Book;Introduction;6
Introduction;Using This Book;Roleplaying Games;6
Introduction;Using This Book;Using This Book;6
Introduction;Using This Book;Game Text;7
Introduction;Using This Book;What's Next?;7
Introduction;Using This Book;Your Warhammer;7
Introduction;A Letter Concerning the Empire;Forget What You Know;20
Introduction;A Letter Concerning the Empire;Letter on the Empire;20
Introduction;A Letter Concerning the Empire;The Colleges of Magic;21
Introduction;A Letter Concerning the Empire;The Gods;21
Introduction;A Letter Concerning the Empire;The Ruinous Powers;21
Introduction;A Letter Concerning the Empire;Witches;21
Introduction;A Letter Concerning the Empire;The Cities and Towns;22
Introduction;A Letter Concerning the Empire;The Powers That Be;22
Introduction;A Letter Concerning the Empire;Rural Life;22
Introduction;A Letter Concerning the Empire;Travel;22
Introduction;A Letter Concerning the Empire;Be Careful;23
Introduction;A Letter Concerning the Empire;The Law;23
Introduction;A Letter Concerning the Empire;Patrols;23
Character;Species;Character;24
Character;Species;Creating a Character;24
Character;Species;Character Creation Summary;24
Character;Species;Random Species Table;24
Character;Species;Species;24
Character;Species;Dwarfs;25
Character;Species;Humans Reiklander;25
Character;Species;Options: Animosity Elves;26
Character;Species;Halflings;26
Character;Species;High Elves;27
Character;Species;Wood Elves;28
Character;Species;Sylvan Cousins;29
Character;Class and Career;Academics;30
Character;Class and Career;Burghers;30
Character;Class and Career;Class and Career;30
Character;Class and Career;Random Class and Career Table;30
Character;Class and Career;Courtiers;30
Character;Class and Career;Peasants;30
Character;Class and Career;Rangers;30
Character;Class and Career;Riverfolk;30
Character;Class and Career;Rogues;30
Character;Class and Career;Warriors;30
Character;Class and Career;Class;31
Character;Class and Career;But I want to play a Wood Elf Flagellant;32
Character;Class and Career;Career;32
Character;Attributes;Attributes;33
Character;Attributes;Attributes Table;33
Character;Attributes;Characteristics;33
Character;Attributes;Determining Characteristics;33
Character;Attributes;Wait! That's not Fair!;33
Character;Attributes;Weapon Skill WS;33
Character;Attributes;Agility Agi;34
Character;Attributes;Ballistic Skill BS;34
Character;Attributes;Characteristic Bonuses;34
Character;Attributes;Dexterity Dex;34
Character;Attributes;Fate & Fortune, Resilience & Resolve;34
Character;Attributes;Determining Fate & Resilience;34
Character;Attributes;Fellowship Fel;34
Character;Attributes;Determining Fortune and Resolve;34
Character;Attributes;Initiative I;34
Character;Attributes;Intelligence Int;34
Character;Attributes;Determining Motivation;34
Character;Attributes;Strength S;34
Character;Attributes;Toughness T;34
Character;Attributes;Willpower WP;34
Character;Attributes;Wounds W;34
Character;Attributes;Determining Wounds;34
Character;Skills and Talents;Advance Characteristics;35
Character;Skills and Talents;Characteristic Advances;35
Character;Skills and Talents;Movement M;35
Character;Skills and Talents;Skills and Talents;35
Character;Skills and Talents;What Are Skill Advances?;36
Character;Skills and Talents;Career Skills and Talents;36
Character;Skills and Talents;Species Skills and Talents;36
Character;Skills and Talents;Random Talents Table;36
Character;Adding Detail;Adding Detail;37
Character;Adding Detail;Name;37
Character;Adding Detail;Human Reiklander Names;37
Character;Adding Detail;Trappings;37
Character;Adding Detail;Career Trappings;37
Character;Adding Detail;Class Trappings;37
Character;Adding Detail;Starting Wealth Table;37
Character;Adding Detail;Elf Epithets;38
Character;Adding Detail;Clan Name;38
Character;Adding Detail;Dwarf Names;38
Character;Adding Detail;Elf Names;38
Character;Adding Detail;Human Names and their Origins;38
Character;Adding Detail;Age;39
Character;Adding Detail;Halfling Clan Names;39
Character;Adding Detail;Elf Name Generator;39
Character;Adding Detail;Halfling Names;39
Character;Adding Detail;Physical Details;39
Character;Adding Detail;Ambitions;40
Character;Adding Detail;Choosing Ambitions;40
Character;Adding Detail;Short-Term Ambitions;40
Character;Adding Detail;Eye Colour;40
Character;Adding Detail;Eye Colour Table;40
Character;Adding Detail;Hair Colour;40
Character;Adding Detail;Hair Colour Table;40
Character;Adding Detail;Height;40
Character;Party;Achieving Your Ambitions;41
Character;Party;Long-Term Ambitions;41
Character;Party;Options: Nefarious Plans;41
Character;Party;Party;41
Character;Party;Party Ambitions;41
Character;Party;Short-Term Party Ambitions;41
Character;Bringing Your Character to Life;Bringing Your Character to Life;42
Character;Bringing Your Character to Life;Achieving your Party Ambitions;42
Character;Bringing Your Character to Life;Long-Term Party Ambitions;42
Character;Bringing Your Character to Life;Ten Questions;42
Character;Finished!;Advancement;43
Character;Finished!;Characteristic and Skill Improvement XP Cost Table;43
Character;Finished!;Other Improvement Costs Table;43
Character;Finished!;Options: Psychology;43
Class and Careers;Careers;Careers;46
Class and Careers;Careers;Class and Careers;46
Class and Careers;Careers;Classes;46
Class and Careers;Careers;Options: Customise Your Trappings;46
Class and Careers;Advancing Through Your Career;Advancing Through Your Career;47
Class and Careers;Advancing Through Your Career;Career Levels;47
Class and Careers;Advancing Through Your Career;Characteristic Advances;47
Class and Careers;Advancing Through Your Career;Characteristic and Skill Improvement XP Cost Table;47
Class and Careers;Advancing Through Your Career;Skill Advances;47
Class and Careers;Changing Career;Changing Career;48
Class and Careers;Changing Career;Changing to a New Level;48
Class and Careers;Changing Career;Completing a Career;48
Class and Careers;Changing Career;Non-Career Advances;48
Class and Careers;Changing Career;Talent Advances;48
Class and Careers;Tiers and Standing;Alternative Changes in Career;49
Class and Careers;Tiers and Standing;Changing to a New Career;49
Class and Careers;Tiers and Standing;Status;49
Class and Careers;Tiers and Standing;Talent and Career Change XP Costs Improvement Table;49
Class and Careers;Tiers and Standing;Improvement Table;49
Class and Careers;Tiers and Standing;The Three Tiers;49
Class and Careers;Tiers and Standing;Tiers and Standing;49
Class and Careers;The Effects of Status;Beyond the Social Norm;50
Class and Careers;The Effects of Status;Charm;50
Class and Careers;The Effects of Status;Changing Status;50
Class and Careers;The Effects of Status;Determining Status;50
Class and Careers;The Effects of Status;The Effects of Status;50
Class and Careers;Earning Money with Status;Academics;51
Class and Careers;Earning Money with Status;Options: Begging and Status;51
Class and Careers;Earning Money with Status;Entertain;51
Class and Careers;Earning Money with Status;Gossip;51
Class and Careers;Earning Money with Status;Intimidate;51
Class and Careers;Earning Money with Status;Keeping Up Appearances;51
Class and Careers;Earning Money with Status;Leadership;51
Class and Careers;Earning Money with Status;Earning Money with Status;51
Class and Careers;Earning Money with Status;Maintaining Status;51
Class and Careers;Earning Money with Status;Career Format;52
Class and Careers;Earning Money with Status;Gendered Career Names;52
Class and Careers;Academics;Apothecary;53
Class and Careers;Academics;Engineer;54
Class and Careers;Academics;Lawyer;55
Class and Careers;Academics;Nun;56
Class and Careers;Academics;Physician;57
Class and Careers;Academics;Priest;58
Class and Careers;Academics;Burghers;59
Class and Careers;Academics;Scholar;59
Class and Careers;Academics;Wizard;60
Class and Careers;Burghers;Agitator;61
Class and Careers;Burghers;Artisan;62
Class and Careers;Burghers;Beggar;63
Class and Careers;Burghers;Investigator;64
Class and Careers;Burghers;Merchant;65
Class and Careers;Burghers;Rat Catcher;66
Class and Careers;Burghers;Courtiers;67
Class and Careers;Burghers;Townsman;67
Class and Careers;Burghers;Watchman;68
Class and Careers;Courtiers;Advisor;69
Class and Careers;Courtiers;Artist;70
Class and Careers;Courtiers;Duellist;71
Class and Careers;Courtiers;Envoy;72
Class and Careers;Courtiers;Noble;73
Class and Careers;Courtiers;Servant;74
Class and Careers;Courtiers;Peasants;75
Class and Careers;Courtiers;Spy;75
Class and Careers;Courtiers;Warden;76
Class and Careers;Peasants;Bailiff;77
Class and Careers;Peasants;Hedge Witch;78
Class and Careers;Peasants;Herbalist;79
Class and Careers;Peasants;Hunter;80
Class and Careers;Peasants;Miner;81
Class and Careers;Peasants;Mystic;82
Class and Careers;Peasants;Rangers;83
Class and Careers;Peasants;Scout;83
Class and Careers;Peasants;Villager;84
Class and Careers;Rangers;Bounty Hunter;85
Class and Careers;Rangers;Coachman;86
Class and Careers;Rangers;Entertainer;87
Class and Careers;Rangers;Flagellant;88
Class and Careers;Rangers;Messenger;89
Class and Careers;Rangers;Pedlar;90
Class and Careers;Rangers;Riverfolk;91
Class and Careers;Rangers;Road Warden;91
Class and Careers;Rangers;Witch Hunter;92
Class and Careers;Riverfolk;Boatman;93
Class and Careers;Riverfolk;Huffer;94
Class and Careers;Riverfolk;Riverwarden;95
Class and Careers;Riverfolk;Riverwoman;96
Class and Careers;Riverfolk;Seaman;97
Class and Careers;Riverfolk;Smuggler;98
Class and Careers;Riverfolk;Rogues;99
Class and Careers;Riverfolk;Stevedore;99
Class and Careers;Riverfolk;Wrecker;100
Class and Careers;Rogues;Bawd;101
Class and Careers;Rogues;Charlatan;102
Class and Careers;Rogues;Fence;103
Class and Careers;Rogues;Grave Robber;104
Class and Careers;Rogues;Outlaw;105
Class and Careers;Rogues;Racketeer;106
Class and Careers;Rogues;Thief;107
Class and Careers;Rogues;Warriors;107
Class and Careers;Rogues;Witch;108
Class and Careers;Warriors;Cavalryman;109
Class and Careers;Guard;Guard;110
Class and Careers;Guard;Knight;111
Class and Careers;Guard;Pit Fighter;112
Class and Careers;Guard;Protagonist;113
Class and Careers;Guard;Slayer;114
Class and Careers;Guard;Soldier;115
Class and Careers;Guard;Warrior Priest;116
Rules;Basic and Advanced Skills;Determining your Skill Level;117
Rules;Basic and Advanced Skills;Skills;117
Rules;Basic and Advanced Skills;Basic and Advanced Skills;117
Rules;Basic and Advanced Skills;Skills and Talents;117
Rules;Master Skill List;Animal Care;118
Rules;Master Skill List;Combat;118
Rules;Master Skill List;Grouped Skills and Specialisation;118
Rules;Master Skill List;Complete Skill List;118
Rules;Master Skill List;Master Skill List;118
Rules;Master Skill List;Animal Training;119
Rules;Master Skill List;Animals;119
Rules;Master Skill List;Art;119
Rules;Master Skill List;Athletics;119
Rules;Master Skill List;Begging;120
Rules;Master Skill List;Bribery;120
Rules;Master Skill List;Channelling;120
Rules;Master Skill List;Charm;120
Rules;Master Skill List;Public Speaking;120
Rules;Master Skill List;Charm Animal;121
Rules;Master Skill List;Climb;121
Rules;Master Skill List;Consume Alcohol;121
Rules;Master Skill List;Cool;121
Rules;Master Skill List;Dodge;122
Rules;Master Skill List;Drive;122
Rules;Master Skill List;Endurance;122
Rules;Master Skill List;Entertain;122
Rules;Master Skill List;Evaluate;122
Rules;Master Skill List;Gamble;122
Rules;Master Skill List;Gossip;123
Rules;Master Skill List;Haggle;123
Rules;Master Skill List;Half-heard Whispers;123
Rules;Master Skill List;Heal;123
Rules;Master Skill List;Intimidate;123
Rules;Master Skill List;Alternative Characteristics for Intimidate;124
Rules;Master Skill List;Options: Battle Tongue;124
Rules;Master Skill List;Intuition;124
Rules;Master Skill List;Language;124
Rules;Master Skill List;Languages of the Old World Table;125
Rules;Master Skill List;Leadership;126
Rules;Master Skill List;Lore;126
Rules;Master Skill List;Melee;126
Rules;Master Skill List;Navigation;126
Rules;Master Skill List;Outdoor Survival;126
Rules;Master Skill List;Who's the Boss?;126
Rules;Master Skill List;Options: Gathering Food and Herbs;127
Rules;Master Skill List;Locks and Lock Picks;127
Rules;Master Skill List;Perception;127
Rules;Master Skill List;Perform;127
Rules;Master Skill List;Pick Lock;127
Rules;Master Skill List;The Old World's a Stage;128
Rules;Master Skill List;Play;128
Rules;Master Skill List;Pray;128
Rules;Master Skill List;Ranged;128
Rules;Master Skill List;Research;128
Rules;Master Skill List;Research and Libraries;129
Rules;Master Skill List;Ride;129
Rules;Master Skill List;Row;129
Rules;Master Skill List;Sail;129
Rules;Master Skill List;Secret Signs;129
Rules;Master Skill List;I Saw The Sign;130
Rules;Master Skill List;Set Trap;130
Rules;Master Skill List;Options: Shadowing;130
Rules;Master Skill List;Sleight of Hand;130
Rules;Master Skill List;Stealth;130
Rules;Master Skill List;Swim;131
Rules;Master Skill List;Track;131
Rules;Master Skill List;Trade;131
Rules;Master Talent List;Accurate Shot;132
Rules;Master Talent List;Acute Sense;132
